Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675628374.2959626,1,73174,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201934.000,19,T
1675628375.3041537,2,73175,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201935.000,19,T
1675628376.3056874,3,73176,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201936.000,19,T
1675628377.3052762,4,73177,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201937.000,19,T
1675628378.3034637,5,73178,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201938.000,19,T
1675628379.3089948,6,73179,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201939.000,19,T
1675628380.3043854,7,73180,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201940.000,19,T
1675628381.3049068,8,73181,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201941.000,19,T
1675628382.3081117,9,73182,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201942.000,19,T
1675628383.3062918,10,73183,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201943.000,19,T
1675628384.305043,11,73184,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201944.000,19,T
1675628385.3051894,12,73185,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201945.000,19,T
1675628386.3048072,13,73186,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201946.000,19,T
1675628387.3064606,14,73187,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201947.000,19,T
1675628388.323903,15,73188,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201948.000,19,T
1675628389.3073697,16,73189,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201949.000,19,T
1675628390.3086665,17,73190,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201950.000,19,T
1675628391.2989259,18,73191,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201951.000,19,T
1675628392.3068745,19,73192,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201952.000,19,T
1675628393.303813,20,73193,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201953.000,19,T
1675628394.3080876,21,73194,0,GPS1_Frame,42.33919143676758,-71.08447265625,10.5,0.8999999761581421,328285.375,4689541.5,201954.000,19,T
1675628395.2989626,22,73195,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,0.8999999761581421,328285.53125,4689541.5,201955.000,19,T
1675628396.299273,23,73196,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,0.8999999761581421,328285.53125,4689541.5,201956.000,19,T
1675628397.3086784,24,73197,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,0.8999999761581421,328285.53125,4689541.5,201957.000,19,T
1675628398.3099675,25,73198,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,201958.000,19,T
1675628399.3072922,26,73199,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,201959.000,19,T
1675628400.307816,27,73200,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202000.000,19,T
1675628401.3081055,28,73201,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202001.000,19,T
1675628402.2994537,29,73202,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202002.000,19,T
1675628403.3079402,30,73203,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202003.000,19,T
1675628404.3082073,31,73204,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202004.000,19,T
1675628405.3079693,32,73205,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202005.000,19,T
1675628406.3063185,33,73206,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202006.000,19,T
1675628407.3079505,34,73207,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202007.000,19,T
1675628408.30768,35,73208,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202008.000,19,T
1675628409.3062532,36,73209,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202009.000,19,T
1675628410.3056288,37,73210,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202010.000,19,T
1675628411.306764,38,73211,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202011.000,19,T
1675628412.306164,39,73212,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202012.000,19,T
1675628413.309719,40,73213,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202013.000,19,T
1675628414.2978141,41,73214,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202014.000,19,T
1675628415.3055093,42,73215,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202015.000,19,T
1675628416.3061757,43,73216,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202016.000,19,T
1675628417.298035,44,73217,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202017.000,19,T
1675628418.3061604,45,73218,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202018.000,19,T
1675628419.3078797,46,73219,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202019.000,19,T
1675628420.3062682,47,73220,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202020.000,19,T
1675628421.3063295,48,73221,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202021.000,19,T
1675628422.3052473,49,73222,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202022.000,19,T
1675628423.307757,50,73223,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.5,1.0,328285.53125,4689541.5,202023.000,19,T
1675628424.3148909,51,73224,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202024.000,19,T
1675628425.2968857,52,73225,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202025.000,19,T
1675628426.3089182,53,73226,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202026.000,19,T
1675628427.305969,54,73227,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202027.000,19,T
1675628428.3038332,55,73228,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202028.000,19,T
1675628429.312016,56,73229,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202029.000,19,T
1675628430.303947,57,73230,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202030.000,19,T
1675628431.3065097,58,73231,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202031.000,19,T
1675628432.3105414,59,73232,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202032.000,19,T
1675628433.30628,60,73233,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202033.000,19,T
1675628434.3063512,61,73234,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202034.000,19,T
1675628435.310022,62,73235,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202035.000,19,T
1675628436.306993,63,73236,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202036.000,19,T
1675628437.307447,64,73237,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202037.000,19,T
1675628438.3290763,65,73238,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202038.000,19,T
1675628439.3105097,66,73239,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202039.000,19,T
1675628440.3053987,67,73240,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202040.000,19,T
1675628441.3075597,68,73241,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.600000381469727,1.0,328285.53125,4689542.0,202041.000,19,T
1675628442.3064265,69,73242,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.0,328285.53125,4689542.0,202042.000,19,T
1675628443.2998116,70,73243,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.0,328285.53125,4689542.0,202043.000,19,T
1675628444.3067036,71,73244,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.0,328285.53125,4689542.0,202044.000,19,T
1675628445.3083136,72,73245,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202045.000,19,T
1675628446.305682,73,73246,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202046.000,19,T
1675628447.3095994,74,73247,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.0,328285.53125,4689542.0,202047.000,19,T
1675628448.3100257,75,73248,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.0,328285.53125,4689542.0,202048.000,19,T
1675628449.3089166,76,73249,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.0,328285.53125,4689542.0,202049.000,19,T
1675628450.3061259,77,73250,0,GPS1_Frame,42.33919143676758,-71.08446502685547,10.699999809265137,1.2000000476837158,328285.53125,4689542.0,202050.000,19,T
